id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
12691,Warmaster Chess 2000,1998,2,2,60,10,185,14,0,6,2.93,5.419,52,0
220885,Battle Ravens,2019,2,2,60,14,143,12,5,27,6.67,5.532,52,1
15153,The Flowers of the Forest,1995,2,2,120,12,240,3,23,55,7.75,5.568,52,1
8258,"Solomons Campaign: Air, Land, and Sea Warfare, Pacific 1942",1973,2,2,180,12,224,5,18,29,7.45,5.545,52,1
10470,March to Victory: West Front 1914-1916,1997,2,2,360,12,213,2,19,30,7.14,5.533,52,1
193854,Gnomi,2017,2,6,10,12,152,7,1,12,6.37,5.525,52,0
41587,Эрудит,1988,2,17,90,10,83,0,0,1,6.1,5.515,52,0
56843,Fish! Fish!! Fish!,2009,2,5,45,8,112,18,1,8,5.7,5.506,52,0
299105,Black Swan,2020,2,5,1000,10,190,3,25,98,8.21,5.558,52,1
9153,Monopoly: NASCAR,1997,2,8,120,8,179,11,0,3,4.98,5.478,52,0
266940,Widget Ridge,2019,1,2,45,12,163,5,13,68,7.53,5.536,52,1
11370,The Civil War,1991,2,4,1200,12,139,15,1,4,2.91,5.423,52,0
6869,Bethump'd with Words,1995,2,8,60,13,131,9,1,5,5.55,5.498,52,0
23456,Trivial Pursuit: Star Wars – Bite Size,2005,2,6,0,12,128,5,1,7,5.3,5.497,52,0
152824,Enigmàrius,2013,1,6,90,10,151,3,0,5,6.65,5.532,52,1
286310,Blokus Dice Game,2019,2,4,15,7,132,8,7,53,6.21,5.52,52,0
147396,Dr. Hrubec,2013,2,5,40,13,84,7,2,23,5.64,5.501,52,0
54743,Scene It? 80s,2009,2,12,30,13,191,4,0,5,5.47,5.498,52,0
52827,ZoxSo,2009,2,2,15,8,103,5,2,20,6.7,5.516,52,1
209488,The Game of Things: Travel/Expansion,2014,4,99,0,14,252,9,0,5,6.4,5.516,52,0
266071,Obama Llama 2,2018,4,20,30,14,202,6,1,3,6.43,5.52,52,0
158947,Fantasy Dice Battles,0,2,2,30,8,7,0,0,8,4.84,5.48,52,0
325679,Sherlock: La copia,2020,1,8,60,10,169,4,0,15,7.13,5.547,52,1
6414,Genius Rules,1987,2,4,10,10,89,4,4,6,6.11,5.519,52,0
2753,Demon's Run,1981,2,4,180,12,222,17,5,12,5.86,5.506,52,0
202026,Hundreds of Horses,2015,3,4,30,6,93,2,10,26,7.85,5.565,52,1
285208,World of Draghan: Sneaky Ol' Dragons,2019,2,6,40,8,107,0,1,9,7.9,5.561,52,1
149156,Castles,2014,2,2,30,10,153,25,0,6,3.48,5.439,52,0
166509,Pinocchio: True or False,2014,4,10,30,8,71,8,3,12,5.34,5.497,52,0
94958,Drôles de petites bêtes Domino,0,1,4,20,3,186,0,0,1,5.19,5.493,52,0
209809,Hordes Primal Mk III,2016,2,2,90,12,106,3,2,4,7.78,5.567,52,1
73242,Saipan: Conquest of the Marianas,2010,1,2,60,12,170,4,3,17,6.15,5.52,52,0
7640,The Fall of Tobruk,1975,2,2,120,12,194,12,9,16,7.29,5.543,52,1
86006,Hinkel & Stein,2010,2,4,60,8,56,0,37,75,6.65,5.534,52,1
